id,title,description,term,department,level,sections,instructors,seats,open_seats,filled_seats,syllabus_count
AASP398G,"Selected Topics in the African Diaspora; Gender, Labor and Racial Identities in Diaspora Communities","Cross-listed with AMST328K. Credit only granted for AASP398G or AMST328K.

Students will be exposed to a range of interdisciplinary perspectives, theories, and methodologies for exploring the intersectionality of gender, ethnicity, sexuality, and racial identities in multiple post-emancipation and modern African/Black diaspora communities. The class readings and discussions will examine the interactions and linkages between and among various African diaspora/descendant and native-born African American/Black peoples, from multiple vantage points, in different historical periods and movements in the U.S., Africa, the Caribbean, Latin American and Europe.",202308,African American Studies,,1,Sharon Harley,30,17,13,0
AASP398Q,Selected Topics in the African Diaspora; Black Baltimore in the Post Racial U.S: African American Urban Culture in the Age of Obama,"Cross-listed with AMST328M. Credit only granted for AASP398Q or AMST328M.

Using the city of Baltimore as our case study and taking an interdisciplinary approach that draws from the scholarly fields of African American studies, sociology, geography, anthropology, history, and urban planning this course explores how both Blackness and anti-Blackness shape the city, its histories, its racial and cultural geography, its social movements, its political economy, and the competing visions for its future. This is an interactive course that will work to develop students capacity to understand and discuss major and minor moments in the history of Black Baltimore; understand and discuss the relationship between material conditions, racism, and urban policy; develop interdisciplinary frameworks through which to interpret and analyze the contemporary and historical conditions shaping the lived experiences of Black Baltimoreans; and analyze scholarship produced within the African American Studies tradition.",202308,African American Studies,,1,Robert Choflet,30,22,8,0
AASP398V,Selected Topics in the African Diaspora; African American Public History,"Cross-listed with HIST329J and AMST328F. Credit only granted for HIST329J, AASP398V, or AMST328F.

This course analyzes the field of public history through the lens of African American history, considering the myriad ways beyond the classroom that African American history is circulated and consumed by the general public. By examining museums, historic sites, monuments, films and documentaries, and the digital landscape, students will examine and critique how historical narratives focusing on the experiences of peoples of African descent in the United States have been constructed in public spaces.",202308,African American Studies,,1,Instructor: TBA,25,24,1,
AASP398Z,Selected Topics in the African Diaspora; Black Contributions to History,"This survey course sheds light on forgotten ingenuity, stolen scientific, and ignored legacy from pharaonic Egypt to the scramble for Africa (1885) to modern Black groundbreaking contributions that have changed the world. While the archeological investigation is focused on the pan-African world, the course is designed to encourage students to delve into their creative and critical thinking skills and to view themselves as inventors and problem solvers. This course also challenges students to grasp inventions that have already taken place in a particular historical context and cultural pluralism, as well as helps them to comprehend and apply scientific principles in everyday life.",202308,African American Studies,,1,George Kintiba,24,23,1,0
AASP399,Research in African-American Studies,,202308,African American Studies,,0,,0,0,0,0
AASP417,Emotions and Culture in the African American Community,"Credit only granted for: AASP417 or AASP498E.
Formerly: AASP498E.",202308,African American Studies,,1,Angel Dunbar,25,11,14,0
AASP498O,"Special Topics in Black Culture; African American and Latino Social, Cultural and Political Relations: 1940 to Present","Cross-listed with USLT498E. Credit granted for AASP498O or USLT498E.

An examination of the social, cultural, and political relationships between African American and Latino/a/x communities. In doing so, we will explore identity conundrums such as what constitutes a Latino/a/x. Who is African American? This nation has rarely seen two groups often lumped together spatially and socially with a rich history of working together towards progress, so divided and contentious. We will also through the analysis of trends look to find points of mutual concern and possible convergence and political coalition. In this course, it will be necessary to examine residential patterns and segregation, as well as learn about Latin American political and racial formation. We also will examine Afro-latinidad, which complicates the sociopolitical landscape and relationship between African American and Latinx communities.",202308,African American Studies,,1,Jason Nichols,30,23,7,0
AASP498Y,Special Topics in Black Culture; Black Queer Studies,Cross-listed with LGBT448L. Credit only granted for LGBT448L or AASP498Y.,202308,African American Studies,,1,Sydney Lewis,30,23,7,0
AASP499N,Advanced Topics in Public Policy and the Black Community; News Coverage of Racial Issues,Restriction: Junior standing or higher.,202308,African American Studies,,1,Anne Rosen,25,24,1,2
AAST200,Introduction to Asian American Studies,"Cross-listed with: AMST298C.
Credit only granted for: AAST200 or AMST298C.",202308,Asian American Studies,,2,Jennifer Cho; Binod Paudyal,80,1,79,0
AAST222,Immigration and Ethnicity in America,"Cross-listed with: SOCY222.
Credit only granted for: AAST222, HIST222, or SOCY222.",202308,Asian American Studies,,1,Julie Park,40,21,19,0
AAST262,Asian American Psychology,"Cross-listed with: PSYC262.
Credit only granted for: PSYC262, AAST262 or PSYC489Z.
Formerly: PSYC489Z.",202308,Asian American Studies,,1,Derek Iwamoto,59,50,9,0
AAST298O,Special Topics in Asian American Studies; The South Asian American Experience,,202308,Asian American Studies,,1,Binod Paudyal,20,0,20,0
AAST351,Asian Americans and Media,"Credit only granted for: AAST351, AAST398M or AAST398N.
Formerly: AAST398M, AAST398N.",202308,Asian American Studies,,1,Binod Paudyal,30,0,30,0
AAST355,Asian Americans in Film,"Cross-listed with: AMST328W.
Credit only granted for: AAST355, AAST398L or AMST328W.
Formerly: 398L.",202308,Asian American Studies,,1,Jennifer Cho,30,3,27,0
AAST363,Filipino American History and Biography,"Cross-listed with: AMST323.
Credit only granted for: AAST363, AMST323, AAST398D, or AMST328J.
Formerly: AAST398D.",202308,Asian American Studies,,1,Gemirald Daus,35,5,30,0
AAST378,Experiential Learning,,202308,Asian American Studies,,1,Janelle Wong,5,5,0,0
AAST388,Independent Research,,202308,Asian American Studies,,4,Janelle Wong; Jennifer Cho; Binod Paudyal; Julie Park,11,11,0,0
AAST394,Growing Up Asian American: The Asian Immigrant Family and the Second Generation,"Cross-listed with: AMST324, IMMR394.
Credit only granted for: AAST394, AAST398E, AMST324, AMST328V, IMMR319G or IMMR394.
Formerly: AAST398E.",202308,Asian American Studies,,1,Joan Hong,30,1,29,0
AAST398Q,"Selected Topics in Asian American Studies; Global Capitalism, Migration, Belonging",Cross-listed with ENGL349A. Credit only granted for ENGL349A or AAST398Q.,202308,Asian American Studies,,1,Rebecca Liu,25,22,3,0
AAST498G,Advanced Topics in Asian American Studies; Asian American Women and Gender,,202308,Asian American Studies,,1,Jennifer Cho,20,2,18,0
ABRM330,Introduction to Anti-Black Racism,"Additional information: This interdisciplinary course will consist of two-week modules from key faculty/scholars in College of Behavioral and Social Sciences, College of Arts and Humanities, School of Public Health, School of Public Policy, and College of Education to explore how anti-Black racism operates in society.",202308,Anti-Black Racism,,1,Rashawn Ray; Jeanette Snider,35,0,35,0
AGNR200,AGNR 2+2 Program Extended Orientation Seminar,"Prerequisite: Must be a first semester international student enrolled in the AGNR 2+2 Program.
Restriction: Must be a first year international student enrolled in the College of Agriculture and Natural Resources 2+2 Program.
Additional information: It is strongly recommended that AGNR 2+2 students take AGNR 200 during the first semester at the University. One class meeting per week. This courses is initiated by International Programs and will be coordinated in conjunction with the College of AGNR.",202308,Agriculture and Natural Resources,,1,Ann Leger,25,25,0,0
AGNR301,Sustainability,"Cross-listed with: PLCY301.
Credit only granted for: AGNR301, PUAF301, or PLCY301.
Formerly: PUAF301.",202308,Agriculture and Natural Resources,,1,Caroline Boules,165,89,76,2
AGNR388,Honors Thesis Research,,202308,Agriculture and Natural Resources,,1,Joseph Sullivan,5,5,0,0
AGNR499,Special Problems; Special Problems,,202308,Agriculture and Natural Resources,,1,Joseph Sullivan,1,1,0,0
AGNR630,Teaching-Learning in Adult and Continuing Education,Formerly: AGRI630.,202308,Agriculture and Natural Resources,,1,Melissa Welsh,24,22,2,0
AGST130,Did Yeast Create Civilization?,"Recommended: CHEM103, CHEM131, CHEM135, or CHEM146.
Cross-listed with: PLSC130.
Credit only granted for: AGST130 or PLSC130.",202308,Agricultural Science and Technology,,1,Wendy Peer,53,2,51,0
AGST307,Mentorship in Agronomy and Career Exploration,"Prerequisite: PLSC101 or (PLSC112 and PLSC113), PLSC407, ENST200, MATH113 or higher, and ENGL101.
Recommended: ANSC101 and ANSC103.
Restriction: Must be in the Agricultural Science and Technology-Agronomy major (0101A); and must have completed all prerequisite courses with a minimum grade of C-; and must have earned a minimum of 15 credits in the Agricultural Science and Technology Agronomy major; and sophomore or higher standing; and permission of AGNR-Department of Plant Sciences and Landscape Architecture.",202308,Agricultural Science and Technology,,1,Bill Phillips,8,8,0,0
AGST333,Crafty Beverage Crops,"Recommended: PLSC110 or PLSC112; or 1 course in BSCI, BCHM, BIOL.",202308,Agricultural Science and Technology,,1,Diana Cochran,60,3,57,0
AGST426,Scientists Teaching and Translating Science,"Credit only granted for: AGST426 or PLSC489L.
Formerly: PLSC489L.",202308,Agricultural Science and Technology,,1,Melissa Welsh,30,29,1,0
AGST440,"Exploring Maryland Agriculture, Agricultural Industry, and Agricultural Literacy","Explore the mission and history of the Land Grant System as well as current work conducted through the University of Maryland to extend research to citizens. Often referred to as America in miniature, Maryland boasts diverse people, agricultural practices, cultures, and ecosystems which students will examine to perceive the decision making processes within and across ecological systems as well as the development of advisory boards.",202308,Agricultural Science and Technology,,1,Melissa Welsh,24,20,4,0
AGST640,Analysis of Maryland Agriculture,"An advanced research focused course on examining the mission and history of the Land Grant System as well as appraising the current work conducted through the University of Maryland Extension to extend research to citizens. Often referred to as America in miniature, Maryland boasts diverse people, agricultural practices, cultures, and ecosystems which students will examine to perceive the decision making processes within and across ecological systems. An enriching field practicum with an agricultural agency is required.",202308,Agricultural Science and Technology,,1,Melissa Welsh,30,28,2,0
AGST699,Independent Studies in Agricultural Science and Technology,,202308,Agricultural Science and Technology,,0,,0,0,0,0
AGST799,Master's Thesis Research,,202308,Agricultural Science and Technology,,0,,0,0,0,0
AMSC460,Computational Methods,"Prerequisite: 1 course with a minimum grade of C- from (MATH240, MATH341, MATH461); and 1 course with a minimum grade of C- from (MATH241, MATH340); and 1 course with a minimum grade of C- from (CMSC106, CMSC131); and minimum grade of C- in MATH246.
Cross-listed with: CMSC460.
Credit only granted for: AMSC460, AMSC466, CMSC460, or CMSC466.",202308,Applied Mathematics & Scientific Computation,,4,Ling Liang; Stefan Doboszczak; Tobias von Petersdorff; Ke Chen,120,40,80,1
AMSC466,Introduction to Numerical Analysis I,"Prerequisite: 1 course with a minimum grade of C- from (MATH240, MATH341, MATH461); and 1 course with a minimum grade of C- from (MATH241, MATH340); and 1 course with a minimum grade of C- from (CMSC106, CMSC131); and minimum grade of C- in MATH410.
Cross-listed with: CMSC466.
Credit only granted for: AMSC460, CMSC460, AMSC466, or CMSC466.",202308,Applied Mathematics & Scientific Computation,,1,Dionisios Margetis,30,9,21,2
AMSC498A,Selected Topics in Applied Mathematics,,202308,Applied Mathematics & Scientific Computation,,0,,0,0,0,0
AMSC660,Scientific Computing I,"Prerequisite: Must have knowledge of Matlab or Python.
Cross-listed with: CMSC660.
Credit only granted for: AMSC660 or CMSC660.",202308,Applied Mathematics & Scientific Computation,,1,Maria Cameron,38,14,24,0
AMSC673,Partial Differential Equations I,"Prerequisite: MATH411; or students who have taken courses with comparable content may contact the department.
Cross-listed with: MATH673.
Credit only granted for: AMSC673 or MATH673.",202308,Applied Mathematics & Scientific Computation,,1,Huy Nguyen,20,19,1,0
AMSC689,Research Interactions in Applied Mathematics and Scientific Computation,,202308,Applied Mathematics & Scientific Computation,,0,,0,0,0,0
AMSC698D,Advanced Topics in Applied Mathematics; Fast Multipole Methods: Fundamentals and Applications,Cross-listed with CMSC878B. Credit only granted for CMSC878B or AMSC698D.,202308,Applied Mathematics & Scientific Computation,,1,Ramani Duraiswami,40,38,2,0
AMSC721,Mathematical Population Biology,"Prerequisite: Calculus, differential equations, modeling, linear algebra, familiarity with mathematical software and programming languages (e.g., MATLAB, R, Python etc.); or permission of instructor.
Cross-listed with: BIOL721.
Credit only granted for: AMSC721 or BIOL721.
Additional information: Open to advanced undergraduates by permission of instructor.",202308,Applied Mathematics & Scientific Computation,,1,Abba Gumel,20,13,7,0
AMSC760,Applied Statistics Practicum,"Prerequisite: Must have completed one year of graduate study in Applied Statistics.
Restriction: Must have project proposal approved by SAC coordinator.",202308,Applied Mathematics & Scientific Computation,,1,Howard Elman,10,10,0,0
AMSC762,Data Analysis Project,Restriction: Permission of CMNS-Applied Mathematics department; and permission of instructor.,202308,Applied Mathematics & Scientific Computation,,1,Howard Elman,15,15,0,0
AMSC763,Advanced Linear Numerical Analysis,"Prerequisite: AMSC666 or CMSC666; or permission of instructor.
Cross-listed with: CMSC763.
Credit only granted for: AMSC600, AMSC763, CMSC760, or CMSC763.
Formerly: AMSC600 and CMSC760.",202308,Applied Mathematics & Scientific Computation,,1,Howard Elman,35,23,12,0
AMSC799,Master's Thesis Research,,202308,Applied Mathematics & Scientific Computation,,0,,0,0,0,0
AMSC808A,Advanced Topics in Applied Mathematics,,202308,Applied Mathematics & Scientific Computation,,0,,0,0,0,0
AMSC898,Pre-Candidacy Research,,202308,Applied Mathematics & Scientific Computation,,0,,0,0,0,0
AMSC899,Doctoral Dissertation Research,,202308,Applied Mathematics & Scientific Computation,,0,,0,0,0,0
AMST101,Introduction American Studies,"Credit only granted for: AMST101 or AMST201.
Formerly: AMST201.",202308,American Studies,,5,Christina Hanhardt; Carla Thomas Mcginnis,75,1,74,7
AMST110,Rumi Rocks!: Persian Poets as Best Sellers and Spiritual Guides in America,"Cross-listed with: PERS110.
Credit only granted for: AMST110 or PERS110.",202308,American Studies,,1,Fatemeh Keshavarz-Karamustafa,25,25,0,
AMST202,Cultures of Everyday Life in America,"Examine the structures and patterns of everyday life in the U.S., utilizing methods such as ethnography, oral history, survey research, and textual, visual, and material cultural analysis.",202308,American Studies,,1,Kristine Li Puma,25,1,24,1
AMST203,Popular Culture in America,"An introduction to American popular culture, its historical development, and its role as a reflection of and influence on our culture and society.",202308,American Studies,,3,Jung Kim; Devon Betts,61,0,61,5
AMST204,Film and American Culture Studies,"Exploration of the American film from a historical perspective, illustrating the motion picture's role as an institutional phenomenon, as a form of communication, and as a source of cross-cultural study.",202308,American Studies,,1,Susan Pramschufer,35,2,33,2
AMST205,Material Aspects of American Life,"Historical survey of American material culture. Ways of describing and interpreting accumulated material evidence (e.g., buildings, town plans) introduced by stressing relationship between artifact and culture.",202308,American Studies,,2,Melodie Jackson; Mateo Arango,36,0,36,1
AMST262,"Houses, Schools, and Prisons in American Life","This interdisciplinary course explores the role of property, discipline, and punishment in American life. By exploring the ideological underpinnings in property, discipline, and punishment and their manifestations in houses, schools, and prisons we will explore how these entities reflect American society and its values.",202308,American Studies,,4,Perla Guerrero,60,6,54,1
AMST298Q,U.S. Latinx Literature and Culture,"Cross-listed with: ENGL235.
Credit only granted for: ENGL235 or AMST298Q.",202308,American Studies,,1,Sarah Dammeyer,30,15,15,0
AMST310,Introduction to Comparative Ethnic and Racial Studies,"Cross-listed with: AAST310.
Credit only granted for: AMST310, AAST398F, AAST310, or AMST328L.
Formerly: AMST328L and AAST398F.",202308,American Studies,,1,Bayley Marquez,26,0,26,0
AMST312,Introduction to Native American and Indigenous Studies,"Credit only granted for: AMST328N, ANTH468F, RELS319N, or AMST312.
Formerly: AMST328N, ANTH468F, or RELS319N.",202308,American Studies,,1,Bayley Marquez; Devin Thompson,25,1,24,0
AMST315,Religion in American Culture,"Recommended: AMST101.
Credit only granted for: AMST315 or AMST328R.
Formerly: AMST328R.",202308,American Studies,,1,Asim Ali,20,2,18,0
AMST320,(Dis)ability in American Film,"Credit only granted for: AMST320 or AMST328X.
Formerly: AMST328X.",202308,American Studies,,1,Susan Pramschufer,21,0,21,0
AMST324,Growing Up Asian American: The Asian Immigrant Family and the Second Generation,"Cross-listed with: AAST394, IMMR394.
Credit only granted for: AAST394, AAST398E, AMST324, AMST328V, IMMR319G or IMMR394.
Formerly: AAST398E.",202308,American Studies,,1,Joan Hong,30,30,0,0
AMST328C,Perspectives on Identity and Culture; Race and the Story of American Freedom,"Together, we will explore these and many other questions as we survey American history while emphasizing the ways ethnic and racial minoritieshave shaped American identity from pre-historic times through the present. By examining or re-examining American history through the lens of these and other racial and ethnic groups we will develop an understanding of key concepts and definitions such as race/class/gender;ethnic group, racial group, minority/majority; institutional racism; social construction of race versus biological construction, resistance, and change.",202308,American Studies,,1,Jamila Moore-Pewu,30,4,26,0
AMST328D,"Perspectives on Identity and Culture; Detention, Deportation and Displacement",Cross-listed with AMST328D. Credit only granted for USLT328D or AMST328D.,202308,American Studies,,1,Perla Guerrero,25,18,7,0
AMST328K,"Perspectives on Identity and Culture; Gender, Labor and Racial Identities in Diaspora Communities","Cross-listed with AASP398G. Credit only granted for AASP398G or AMST328K.

Students will be exposed to a range of interdisciplinary perspectives, theories, and methodologies for exploring the intersectionality of gender, ethnicity, sexuality, and racial identities in multiple post-emancipation and modern African/Black diaspora communities. The class readings and discussions will examine the interactions and linkages between and among various African diaspora/descendant and native-born African American/Black peoples, from multiple vantage points, in different historical periods and movements in the U.S., Africa, the Caribbean, Latin American and Europe.",202308,American Studies,,1,Sharon Harley,30,29,1,0
AMST328M,Perspectives on Identity and Culture; Black Baltimore in the Post Racial U.S: African American Urban Culture in the Age of Obama,"Cross-listed with AASP398Q. Credit only granted for AASP398Q or AMST328M.

Using the city of Baltimore as our case study and taking an interdisciplinary approach that draws from the scholarly fields of African American studies, sociology, geography, anthropology, history, and urban planning this course explores how both Blackness and anti-Blackness shape the city, its histories, its racial and cultural geography, its social movements, its political economy, and the competing visions for its future. This is an interactive course that will work to develop students capacity to understand and discuss major and minor moments in the history of Black Baltimore; understand and discuss the relationship between material conditions, racism, and urban policy; develop interdisciplinary frameworks through which to interpret and analyze the contemporary and historical conditions shaping the lived experiences of Black Baltimoreans; and analyze scholarship produced within the African American Studies tradition.",202308,American Studies,,1,Robert Choflet,30,25,5,0
AMST328N,Perspectives on Identity and Culture; Introduction to Native American Studies,,202308,American Studies,,1,Bayley Marquez,25,25,0,
AMST328W,Asian Americans in Film,"Cross-listed with: AAST355.
Credit only granted for: AAST355, AAST398L or AMST328W.
Formerly: 398L.",202308,American Studies,,1,Jennifer Cho,30,28,2,0
AMST340,"Introduction to History, Theories and Methods in American Studies","Prerequisite: Must have completed AMST201; and 2 courses in AMST.
Restriction: Must be in American Studies program; and sophomore standing or higher.",202308,American Studies,,1,Asim Ali,20,11,9,0
AMST386,Experiential Learning,Restriction: Permission of ARHU-American Studies department; and junior standing or higher.,202308,American Studies,,1,Jamila Moore-Pewu,10,6,4,0
AMST388,Honors Thesis,,202308,American Studies,,0,,0,0,0,0
AMST398,Independent Studies,,202308,American Studies,,0,,0,0,0,0
AMST418H,Cultural Themes in America; Cultural Themes in America-Honors,Prerequisite: At least three credit hours of prior coursework in AMST.,202308,American Studies,,0,,0,0,0,0
AMST418W,Cultural Themes in America; West Africa and the African Diaspora,,202308,American Studies,,1,Jamila Moore-Pewu,20,20,0,0
AMST498B,Special Topics in American Studies; Revolutions and Diasporas,"Cross-listed with USLT498R. Credit granted for USLT498R or AMST498B.

This course investigates how revolutions in Latin America influenced the history of US immigration, refugee, and asylum policies and how they changed US history, culture, experience, geography, politics and the future.",202308,American Studies,,1,Robert Chester,25,18,7,0
AMST498C,"Special Topics in American Studies; Central Americans and the United States: Culture, Politics, and Community","Cross-listed with USLT498D. Credit only granted for AMST498C or USLT498D.

With attention to history, memory, politics, and culture, explores the relationships, conflicts, and exchanges of people and power between the United States and the Central American isthmus. Through literature, feature films, documentary films, theatre, poetry, and other mediums, the course investigates the role of the US government and military, as well as US corporate interests and US-backed dictatorships, in the culture, politics, and economy of nations including El Salvador, Nicaragua, Guatemala, and Honduras.",202308,American Studies,,1,Robert Chester,20,8,12,0
AMST601,Introductory Theories and History in American Studies,Restriction: Must not be a Graduate Advanced Special Student.,202308,American Studies,,1,La Marr Bruce,10,3,7,0
AMST628F,Seminar in American Studies; Deviance and Dominance in the Study of the City,,202308,American Studies,,1,Christina Hanhardt,15,15,0,0
AMST628N,"Seminar in American Studies; Space, Place, and Identity in the Digital Age",,202308,American Studies,,1,Jason Farman,15,5,10,0
AMST628P,"Seminar in American Studies; Race, Sex, and Power in the City",,202308,American Studies,,1,Christina Hanhardt,15,15,0,0
AMST655,Introduction to Museum Scholarship,"Cross-listed with: ANTH655, HIST610, INST653.
Credit only granted for: AMST655, ANTH655, HIST610, INST728T or INST653.",202308,American Studies,,1,Diana Marsh,30,28,2,0
AMST698,Directed Readings in American Studies,,202308,American Studies,,0,,0,0,0,0
AMST798,Non-Thesis Research,,202308,American Studies,,0,,0,0,0,0
AMST799,Master's Thesis Research,,202308,American Studies,,0,,0,0,0,0
AMST857,Museum Scholarship Practicum,"Prerequisite: AMST856, ANTH856, or HIST810.
Restriction: Permission of Museum Scholarship Program required.
Cross-listed with: ANTH857, HIST811, INST787.
Credit only granted for: AMST857, ANTH857, HIST811, INST728I or INST787.",202308,American Studies,,1,Paul Jaeger,12,11,1,0
AMST878A,American Studies Pedagogy Mentoring; Mentoring for First Year Teaching in American Studies,Prerequisite: permission of department and must be a current AMST teaching assistant.,202308,American Studies,,1,La Marr Bruce,8,5,3,0
AMST878B,American Studies Pedagogy Mentoring; Mentoring for Second Year Teaching in American Studies,Prerequisite: permission of department and must be a current AMST teaching assistant.,202308,American Studies,,1,La Marr Bruce,6,5,1,0
AMST878C,American Studies Pedagogy Mentoring; Mentoring for Third Year Teaching in American Studies,Prerequisite: permission of department and must be a current AMST teaching assistant.,202308,American Studies,,1,La Marr Bruce,5,2,3,0
AMST898,Pre-Candidacy Research,,202308,American Studies,,0,,0,0,0,0
AMST899,Doctoral Dissertation Research,,202308,American Studies,,0,,0,0,0,0
ANSC101,Principles of Animal Science,"A comprehensive overview of the application of biology in the care and use of animals that live in close association with humans including food animals, companion animals, lab animals, zoo animals, etc. The role of science in modern food production using animals will be emphasized.",202308,Animal Science,,1,Kristina Mayo,156,55,101,5
ANSC103,Principles of Animal Science Laboratory,"Prerequisite: Must have completed or be concurrently enrolled in ANSC101.
Restriction: Must be in one of the following programs (Environmental Sci & Pol-Environment & Agriculture; Agricultural and Veterinary Medicine; Agricultural Science and Technology) ; or must be in a major within the AGNR-Animal & Avian Sciences department; or permission of department required for students in other College of AGNR programs.",202308,Animal Science,,5,Kristina Mayo,105,16,89,1
ANSC105,Horse Care Practicum,"Restriction: Permission of the instructor.
Credit only granted for: ANSC108 or ANSC105.
Formerly: ANSC108.",202308,Animal Science,,1,Rose Cardinal; Amy Burk,30,10,20,1
ANSC115,Careers in the Animal Sciences,Prerequisite: ANSC101 and ANSC103.,202308,Animal Science,,1,Victoria Pearlman,35,30,5,1
