id,title,description,term,department,level,sections,instructors,seats,open_seats,filled_seats,syllabus_count
AASP298L,African-American Literature and Culture,"Cross-listed with: ENGL234.
Credit only granted for: ENGL234 or AASP298L.",202108,African American Studies,,1,Alexandria Nunn,30,1,29,
AASP298M,Martin Luther King Jr.,"Cross-listed with: HIST108C, AMST189C.
Credit only granted for: HIST108C, AASP298M, or AMST189C.",202108,African American Studies,,1,Quincy Mills,15,6,9,
AASP298P,"Special Topics in African American Studies; Poverty, Race and African-American Children",,202108,African American Studies,,1,Cecily Hardaway,20,8,12,
AASP301,Applied Policy Analysis and the Black Community,"Prerequisite: AASP101; and (ECON201 or ECON200).
Recommended: Completion of one semester of statistics is recommended.",202108,African American Studies,,1,Ricco Hall,25,16,9,
AASP310,African Slave Trade,"Prerequisite: AASP202 or AASP100; or permission of BSOS-African American Studies department.
Formerly: AASP311.",202108,African American Studies,,1,George Kintiba,35,24,11,
AASP313,Black Women in United States History,"Restriction: Sophomore standing or higher.
Cross-listed with: WGSS314.
Credit only granted for: AASP313, WMST314 or WGSS314.
Formerly: WMST314.",202108,African American Studies,,1,Elsa Barkley Brown,40,1,39,
AASP377,Baldwin and the Black Atlantic,"As one of the most important writers of his generation, James Baldwin articulated key truths about race and racism in the United States. His fiction and non-fiction bear witness to the cruelty of anti-black racism, while also attending to the complexities of love, hope, and community in the African-American context and the context of democracy in the United States more widely. This course focuses on Baldwin's non-fiction and its complicated relation to mid-century trends in black Atlantic theory, from the racialism of Negritude to various iterations of existentialism to post-independence notions of Pan-Africanism and Black Power. What emerges from our considerations will be a portrait of Baldwin as a writer of the particularity of African-American experience and as a vernacular intellectual dedicated to the articulation of localized forms of knowing and being, while also being attentive to the blurry borders of blackness, whiteness, and the history of anti-black racism.",202108,African American Studies,,1,John Drabinski,25,17,8,
AASP386,Experiential Learning,Restriction: Permission of BSOS-African American Studies department; and junior standing or higher.,202108,African American Studies,,1,Marshal Washington,10,10,0,
AASP397,Senior Thesis,Restriction: Permission of BSOS-African American Studies department.,202108,African American Studies,,0,,0,0,0,
AASP398G,"Selected Topics in the African Diaspora; Gender, Labor and Racial Identities in Diaspora Communities",Cross-listed with AMST328K. Credit only granted for AASP398G or AMST328K.,202108,African American Studies,,1,Sharon Harley,15,2,13,
AASP398Q,Selected Topics in the African Diaspora; Black Baltimore in the Post Racial U.S: African American Urban Culture in the Age of Obama,,202108,African American Studies,,1,Robert Choflet,30,20,10,
AASP399,Research in African-American Studies,,202108,African American Studies,,0,,0,0,0,
AASP401,Research Directions in African-American Studies,Restriction: Must have earned a minimum of 90 credits; and must be major in African-American Studies.,202108,African American Studies,,1,Oscar Barbarin,15,14,1,
AASP413,Gentrification: Have You Met the New Neighbors?: Issues of Belonging and Displacement in Urban Areas,"This course will explore and consider current scholarship on the history, modes and implications of the process of gentrification in various areas within the United States. The course will engage with history, culture, and policy factors related to the redevelopment of urban areas. Course texts will be interdisciplinary in their methodology and genre, and will include themes of race, gender, and class. These texts, combined with student engagement, class discussion, and directed assignments will help to develop a theoretical framework for the understanding of gentrification as systematic, profound and in most if not all cases, irreversibly detrimental.",202108,African American Studies,,1,Ashley Newby,20,8,12,
AASP498J,"Special Topics in Black Culture; Racial Socialization of Children and Adolescents: Theory, Research and Practice",,202108,African American Studies,,1,Angel Dunbar,30,25,5,
AASP498O,"Special Topics in Black Culture; African American and Latino Social, Cultural and Political Relations: 1940 to Present",Cross-listed with USLT498E. Credit granted for AASP498O or USLT498E.,202108,African American Studies,,1,Jason Nichols,35,18,17,
AASP499P,Advanced Topics in Public Policy and the Black Community; African-American Politics from Frederick Douglass to Barack Obama,"Jointly offered with GVPT368L. Credit only granted for AASP499P, GVPT368L, or PLCY388B.",202108,African American Studies,,1,Kameron Patterson,30,3,27,
AAST200,Introduction to Asian American Studies,"Cross-listed with: AMST298C.
Credit only granted for: AAST200 or AMST298C.",202108,Asian American Studies,,1,Binod Paudyal,40,0,40,
AAST201,Asian American History,"Cross-listed with HIST221.
Credit only granted for: AAST201 or HIST221.",202108,Asian American Studies,,1,Patrick Chung,40,2,38,
AAST222,Immigration and Ethnicity in America,Credit only granted for: AAST222 or HIST222.,202108,Asian American Studies,,1,Julie Park,40,0,40,
AAST233,Introduction to Asian American Literature,"Cross-listed with ENGL233.
Credit only granted for: ENGL233 or AAST233.",202108,Asian American Studies,,1,Da Som Lee,30,0,30,
AAST298B,Special Topics in Asian American Studies; Visual Cultures of Islam,"Crosslisted with ARTH389L, HIST219E, PERS298E, and RELS219E. Credit granted for HIST219E, ARTH389L, AAST298B, PERS298E, or RELS219E.

Visual Cultures of Islam is part of the Digital Islamic Studies Curriculum (digitalislam.umich.edu). This course is taught by an expert in the field of Islamic Art at the University of Michigan, and digitally shared with the University of Maryland. The course explores definitions of ""Islamic"" art and investigates various visual cultures of Islam around the world from the 7th to the 20th century. The course meets twice a week in real time using video conferencing technology and students are able to enroll directly at Maryland for course credit.",202108,Asian American Studies,,1,Instructor: TBA,12,2,10,
AAST298O,South Asian American Experience,"We will broadly cover the history of South Asians in the United States from colonial times until the present. We will look at South Asian participation in politics, the economy and the evolving culture of the US, particularly in reference to waves of anti-immigrant sentiment historically, and the Civil Rights Movement of the 60s. We will also discuss issues within the South Asian American community such as the generational gap, marital and domestic violence, and LQBTQ voices, as well as the emerging cultural representations of South Asians in mainstream US culture.",202108,Asian American Studies,,1,Jyoti Mohan,30,22,8,
AAST310,Introduction to Comparative Ethnic and Racial Studies,"Cross-listed with: AMST310.
Credit only granted for: AMST310, AAST398F, AAST310, or AMST328L.
Formerly: AMST328L and AAST398F.",202108,Asian American Studies,,1,Janelle Wong,25,0,25,
AAST351,Asian Americans and Media,"Credit only granted for: AAST351, AAST398M or AAST398N.
Formerly: AAST398M, AAST398N.",202108,Asian American Studies,,1,Binod Paudyal,25,0,25,
AAST355,Asian Americans in Film,"Cross-listed with: AMST328W.
Credit only granted for: AAST355, AAST398L or AMST328W.
Formerly: 398L.",202108,Asian American Studies,,1,Binod Paudyal,25,0,25,
AAST363,Filipino American History and Biography,"Cross-listed with: AMST323.
Credit only granted for: AAST363, AMST323, AAST398D, or AMST328J.
Formerly: AAST398D.",202108,Asian American Studies,,1,Gemirald Daus,35,10,25,
AAST378,Experiential Learning,,202108,Asian American Studies,,1,Julie Park,2,0,2,
AAST388,Independent Research,,202108,Asian American Studies,,1,Julie Park,2,2,0,
AAST394,Growing Up Asian American: The Asian Immigrant Family and the Second Generation,"Cross-listed with: AMST324, IMMR394.
Credit only granted for: AAST394, AAST398E, AMST324, AMST328V, IMMR319G or IMMR394.
Formerly: AAST398E.",202108,Asian American Studies,,1,Yeram Cheong,30,0,30,
AAST443,Asian American Politics,"Cross-listed with: AMST498J.
Credit only granted for: AAST498T, AAST443, GVPT368C or AMST 498J.
Formerly: AAST498T.",202108,Asian American Studies,,1,Janelle Wong,40,0,40,
AAST498J,Advanced Topics in Asian American Studies; Asian American Psychology,"Cross-listed with AAST498J. Credit only granted for PSYC489Z or AAST498J.

This course will increase knowledge regarding how socio-cultural influences impact the development and psychological health of Asian Americans. Students will develop a deeper understanding of the role of stereotypes and racism, acculturation, racial identity development, cultural values, gender socialization, behavioral norms, family roles, stressors, and social support systems have on the mental health, well-being, and health of Asian Americans.",202108,Asian American Studies,,1,Derek Iwamoto,60,8,52,
AAST498N,Advanced Topics in Asian American Studies; South Asian American Intersectionalities and Solidarities,"South Asian Americans - identity, agency, and racial formation. This course will critically examine South Asian Americans through a transnational framework to understand how the community has experienced and created racial identity in the United States, navigated otherness from assimilation to solidarity, and leveraged U.S. political systems to both advance and destabilize domestic social justice movements.",202108,Asian American Studies,,1,Lakshmi Sridaran,20,15,5,
AGNR200,AGNR 2+2 Program Extended Orientation Seminar,"Prerequisite: Must be a first semester international student enrolled in the AGNR 2+2 Program.
Restriction: Must be a first year international student enrolled in the College of Agriculture and Natural Resources 2+2 Program.
Additional information: It is strongly recommended that AGNR 2+2 students take AGNR 200 during the first semester at the University. One class meeting per week. This courses is initiated by International Programs and will be coordinated in conjunction with the College of AGNR.",202108,Agriculture and Natural Resources,,1,Ann Leger,25,20,5,
AGNR301,Sustainability,"Cross-listed with PLCY301.
Credit only granted for: AGNR301, PLCY301 or PUAF301.",202108,Agriculture and Natural Resources,,1,Edward Sinnes,165,3,162,
AGNR388,Honors Thesis Research,,202108,Agriculture and Natural Resources,,1,Evelyn Cooper,5,5,0,
AGNR499,Special Problems; Special Problems,,202108,Agriculture and Natural Resources,,1,Evelyn Cooper,1,1,0,
AGST130,Did Yeast Create Civilization?,"Recommended: CHEM103, CHEM131, CHEM135, or CHEM146.
Cross-listed with: PLSC130.
Credit only granted for: AGST130 or PLSC130.",202108,Agricultural Science and Technology,,1,Wendy Peer,60,3,57,
AGST333,Crafty Beverage Crops,"Recommended: PLSC110 or PLSC112; or 1 course in BSCI, BCHM, BIOL.",202108,Agricultural Science and Technology,,2,Diana Cochran,40,9,31,
AGST425,Learning and Teaching in Agriculture,"Prerequisite: TLPL 415.
Restriction: Must be in Agricultural & Extension Education teacher certification.
Credit only granted for: AGST 425 or TLPL425.",202108,Agricultural Science and Technology,,1,Melissa Welsh,10,9,1,
AGST440,"Exploring Maryland Agriculture, Agricultural Industry, and Agricultural Literacy","Explore the mission and history of the Land Grant System as well as current work conducted through the University of Maryland to extend research to citizens. Often referred to as America in miniature, Maryland boasts diverse people, agricultural practices, cultures, and ecosystems which students will examine to perceive the decision making processes within and across ecological systems as well as the development of advisory boards.",202108,Agricultural Science and Technology,,1,Melissa Welsh,30,25,5,
AGST640,"Critically Examine Maryland Agriculture, Agricultural Industry and Agricultural Literacy","An advanced research focused course on examining the mission and history of the Land Grant System as well as appraising the current work conducted through the University of Maryland Extension to extend research to citizens. Often referred to as America in miniature, Maryland boasts diverse people, agricultural practices, cultures, and ecosystems which students will examine to perceive the decision making processes within and across ecological systems. An enriching field practicum with an agricultural agency is required.",202108,Agricultural Science and Technology,,1,Melissa Welsh,30,27,3,
AMSC460,Computational Methods,"Prerequisite: 1 course with a minimum grade of C- from (MATH240, MATH461, MATH341); and 1 course with a minimum grade of C- from (MATH340, MATH241); and 1 course with a minimum grade of C- from (CMSC106, CMSC131); and minimum grade of C- in MATH246.
Also offered as: CMSC460.
Credit only granted for: AMSC460, CMSC460, AMSC466, or CMSC466.",202108,Applied Mathematics & Scientific Computation,,4,Vladimir Yushutin; Stefan Doboszczak; Tobias von Petersdorff; Jonathan Rosenberg,117,14,103,
AMSC466,Introduction to Numerical Analysis I,"Prerequisite: 1 course with a minimum grade of C- from (MATH240, MATH461, MATH341); and 1 course with a minimum grade of C- from (MATH340, MATH241); and 1 course with a minimum grade of C- from (CMSC106, CMSC131); and minimum grade of C- in MATH410.
Also offered as: CMSC466.
Credit only granted for: AMSC460, CMSC460, AMSC466, or CMSC466.",202108,Applied Mathematics & Scientific Computation,,1,Dionisios Margetis,25,13,12,
AMSC498A,Selected Topics in Applied Mathematics,,202108,Applied Mathematics & Scientific Computation,,0,,0,0,0,
AMSC660,Scientific Computing I,"Prerequisite: Must have knowledge of C or Fortran. And AMSC460 or CMSC460; or (CMSC466 or AMSC466); or (must have knowledge of basic numerical analysis (linear equations, nonlinear integration, interpolation); and permission of instructor).
Cross-listed with CMSC66 0.
Credit only granted for: AMSC660 or CMSC660.",202108,Applied Mathematics & Scientific Computation,,1,Tobias von Petersdorff,25,3,22,
AMSC663,Advanced Scientific Computing I,"Prerequisite: CMSC660 or AMSC660; and (CMSC661 or AMSC661).
Restriction: Permission of instructor.
Cross-listed with CMSC663.
Credit only granted for: AMSC663 or CMSC663.",202108,Applied Mathematics & Scientific Computation,,1,Howard Elman,20,15,5,
AMSC666,Numerical Analysis I,"Prerequisite: CMSC466 or AMSC466; and MATH410.
Cross-listed with: CMSC666.
Credit only granted for: AMSC666 or CMSC666.",202108,Applied Mathematics & Scientific Computation,,1,Eitan Tadmor,25,15,10,
AMSC673,Partial Differential Equations I,"Prerequisite: MATH411; or students who have taken courses with comparable content may contact the department.
Cross-listed with MATH67 3.
Credit only granted for: AMSC673 or MATH673.",202108,Applied Mathematics & Scientific Computation,,1,Manoussos Grillakis,20,7,13,
AMSC689,Research Interactions in Applied Mathematics and Scientific Computation,,202108,Applied Mathematics & Scientific Computation,,0,,0,0,0,
AMSC714,Numerical Methods For Stationary PDEs,"Prerequisite: One graduate level course in partial differential equations or one graduate level course in numerical analysis or scientific computing; or permission of instructor.
Credit only granted for: AMSC 714 or AMSC 614.
Formerly: AMSC614.
Additional information: This course is a complement to the graduate courses MATH 673 and MATH 674 in PDEs, AMSC 666 in numerical analysis, and AMSC 660 and AMSC 661 in scientific computing.",202108,Applied Mathematics & Scientific Computation,,1,Ricardo Nochetto,20,11,9,
AMSC760,Applied Statistics Practicum,"Prerequisite: Must have completed one year of graduate study in Applied Statistics.
Restriction: Must have project proposal approved by SAC coordinator.",202108,Applied Mathematics & Scientific Computation,,1,Howard Elman,10,10,0,
AMSC762,Data Analysis Project,Restriction: Permission of CMNS-Applied Mathematics department; and permission of instructor.,202108,Applied Mathematics & Scientific Computation,,1,Howard Elman,15,14,1,
AMSC763,Advanced Linear Numerical Analysis,"Prerequisite: AMSC666 or CMSC666; or permission of instructor.
Also offered as: CMSC763.
Credit only granted for: AMSC600, AMSC763, CMSC760, or CMSC763.
Formerly: AMSC600 and CMSC760.",202108,Applied Mathematics & Scientific Computation,,1,Howard Elman,25,14,11,
AMSC799,Master's Thesis Research,,202108,Applied Mathematics & Scientific Computation,,0,,0,0,0,
AMSC808A,Advanced Topics in Applied Mathematics,,202108,Applied Mathematics & Scientific Computation,,0,,0,0,0,
AMSC808N,Advanced Topics in Applied Mathematics; Numerical Methods for Data Science and Machine Learning,,202108,Applied Mathematics & Scientific Computation,,1,Maria Cameron,22,6,16,
AMSC898,Pre-Candidacy Research,,202108,Applied Mathematics & Scientific Computation,,0,,0,0,0,
AMSC899,Doctoral Dissertation Research,,202108,Applied Mathematics & Scientific Computation,,0,,0,0,0,
AMST101,Introduction American Studies,"Credit only granted for: AMST101 or AMST201.
Formerly: AMST201.",202108,American Studies,,5,Devon Betts; Christina Hanhardt; Eva Hageman,80,5,75,
AMST189C,Martin Luther King Jr.,"Cross-listed with: HIST108C, AASP298M.
Credit only granted for: HIST108C, AASP298M, or AMST189C.",202108,American Studies,,1,Quincy Mills,15,6,9,
AMST202,Cultures of Everyday Life in America,"Examine the structures and patterns of everyday life in the U.S., utilizing methods such as ethnography, oral history, survey research, and textual, visual, and material cultural analysis.",202108,American Studies,,1,Caroline He,25,1,24,
AMST203,Popular Culture in America,"An introduction to American popular culture, its historical development, and its role as a reflection of and influence on our culture and society.",202108,American Studies,,3,Zachary Johnson; Kelsey Michael,65,1,64,
AMST204,Film and American Culture Studies,"Exploration of the American film from a historical perspective, illustrating the motion picture's role as an institutional phenomenon, as a form of communication, and as a source of cross-cultural study.",202108,American Studies,,1,Susan Pramschufer,35,0,35,
AMST205,Material Aspects of American Life,"Historical survey of American material culture. Ways of describing and interpreting accumulated material evidence (e.g., buildings, town plans) introduced by stressing relationship between artifact and culture.",202108,American Studies,,2,Mateo Arango,40,0,40,
AMST298C,Introduction to Asian American Studies,"Cross-listed with: AAST200.
Credit only granted for: AAST200 or AMST298C.",202108,American Studies,,1,Binod Paudyal,40,0,40,
AMST298Q,U.S. Latinx Literature and Culture,"Cross-listed with: ENGL235.
Credit only granted for: ENGL235 or AMST298Q.",202108,American Studies,,1,James Rankin,30,2,28,
AMST310,Introduction to Comparative Ethnic and Racial Studies,"Cross-listed with: AAST310.
Credit only granted for: AMST310, AAST398F, AAST310, or AMST328L.
Formerly: AMST328L and AAST398F.",202108,American Studies,,1,Janelle Wong,25,0,25,
AMST324,Growing Up Asian American: The Asian Immigrant Family and the Second Generation,"Cross-listed with: AAST394, IMMR394.
Credit only granted for: AAST394, AAST398E, AMST324, AMST328V, IMMR319G or IMMR394.
Formerly: AAST398E.",202108,American Studies,,1,Yeram Cheong,30,0,30,
AMST328K,"Perspectives on Identity and Culture; Gender, Labor and Racial Identities in Diaspora Communities",Cross-listed with AASP398G. Credit only granted for AASP398G or AMST328K.,202108,American Studies,,1,Sharon Harley,15,2,13,
AMST328R,Perspectives on Identity and Culture; Religion in American Culture,,202108,American Studies,,1,Asim Ali,20,0,20,
AMST328W,Asian Americans in Film,"Cross-listed with: AAST355.
Credit only granted for: AAST355, AAST398L or AMST328W.
Formerly: 398L.",202108,American Studies,,1,Binod Paudyal,25,0,25,
AMST328X,(Dis)ability in American Film,"Explores the connection between film and disability through an analysis of independent and mainstream American films in various film genres. Specifically, we will consider how these film representations reflect and/or challenge the shifting social perspectives of disability over the 20th and 21st centuries. Beginning with the presentation of disability as theatrical spectacle in the traveling sideshow and early cinema, we will work our way through film history to develop an understanding of our society's complicated relationship with disability.",202108,American Studies,,1,Susan Pramschufer,20,1,19,
AMST340,"Introduction to History, Theories and Methods in American Studies","Prerequisite: Must have completed AMST201; and 2 courses in AMST.
Restriction: Must be in American Studies program; and sophomore standing or higher.",202108,American Studies,,1,Asim Ali,20,16,4,
AMST386,Experiential Learning,Restriction: Permission of ARHU-American Studies department; and junior standing or higher.,202108,American Studies,,1,Mary Sies,10,9,1,
AMST388,Honors Thesis,,202108,American Studies,,0,,0,0,0,
AMST398,Independent Studies,,202108,American Studies,,0,,0,0,0,
AMST418H,Cultural Themes in America; Cultural Themes in America-Honors,Prerequisite: At least three credit hours of prior coursework in AMST.,202108,American Studies,,0,,0,0,0,
AMST450,Seminar in American Studies,"Prerequisite: AMST201 and AMST340; and 1 course in AMST.
Restriction: Senior standing; and must be in American Studies program.",202108,American Studies,,1,Robert Chester,20,16,4,
AMST498B,Special Topics in American Studies; Revolutions and Diasporas,"Cross-listed with USLT498R. Credit granted for USLT498R or AMST498B.

This course investigates how revolutions in Latin America influenced the history of US immigration, refugee, and asylum policies and how they changed US history, culture, experience, geography, politics and the future.",202108,American Studies,,1,Robert Chester,20,0,20,
AMST498J,Asian American Politics,"Cross-listed with: AAST443.
Credit only granted for: AAST498T, AAST443, GVPT368C or AMST 498J.
Formerly: AAST498T.",202108,American Studies,,1,Janelle Wong,40,0,40,
AMST602,Interdisciplinary Research Methods and Bibliographic Instruction,"Advanced instruction interdisciplinary research strategies, bibliography, and the structure of systems of scholarly communication in the fields and subfields of American Studies.",202108,American Studies,,1,Christina Hanhardt,15,12,3,
AMST628R,Seminar in American Studies; Racial Ecologies,"This graduate seminar will center emerging scholarship at the intersection of critical race studies, feminist science studies, and the environmental humanities. Focusing on topics including climate change, resource extraction, the oil economy, species conservation, and pandemic ecologies, we will highlight how environmental justice struggles animate key political, cultural, and social concerns as they highlight efforts to construct alternatives to current modes of racial capitalism.",202108,American Studies,,1,Neel Ahuja,15,13,2,
AMST655,Introduction to Museum Scholarship,"Cross-listed with HIST610, ANTH655.
Credit only granted for: AMST655, ANTH655, or HIST610.",202108,American Studies,,1,Aaron Bryant,20,0,20,
AMST698,Directed Readings in American Studies,,202108,American Studies,,0,,0,0,0,
AMST798,Non-Thesis Research,,202108,American Studies,,0,,0,0,0,
AMST799,Master's Thesis Research,,202108,American Studies,,0,,0,0,0,
AMST857,Museum Scholarship Practicum,"Prerequisite: AMST856, ANTH856, or HIST810.
Restriction: Permission of Museum Scholarship Program required.
Cross-listed with ANTH857, HIST811.
Credit only granted for: AMST857, ANTH857, or HIST811.",202108,American Studies,,3,Paul Shackel; Diana Marsh; Mary Sies,10,3,7,
AMST878A,American Studies Pedagogy Mentoring; Mentoring for First Year Teaching in American Studies,Prerequisite: permission of department and must be a current AMST teaching assistant.,202108,American Studies,,1,Perla Guerrero,5,1,4,
AMST878B,American Studies Pedagogy Mentoring; Mentoring for Second Year Teaching in American Studies,Prerequisite: permission of department and must be a current AMST teaching assistant.,202108,American Studies,,1,Perla Guerrero,5,2,3,
AMST878C,American Studies Pedagogy Mentoring; Mentoring for Third Year Teaching in American Studies,Prerequisite: permission of department and must be a current AMST teaching assistant.,202108,American Studies,,1,Perla Guerrero,5,3,2,
AMST898,Pre-Candidacy Research,,202108,American Studies,,0,,0,0,0,
AMST899,Doctoral Dissertation Research,,202108,American Studies,,0,,0,0,0,
ANSC101,Principles of Animal Science,"A comprehensive overview of the application of biology in the care and use of animals that live in close association with humans including food animals, companion animals, lab animals, zoo animals, etc. The role of science in modern food production using animals will be emphasized.",202108,Animal Science,,1,Sarah Balcom,156,40,116,
ANSC103,Principles of Animal Science Laboratory,"Prerequisite: Must have completed or be concurrently enrolled in ANSC101.
Restriction: Must be in one of the following programs (Environmental Sci & Pol-Environment & Agriculture; Agricultural and Veterinary Medicine; Agricultural Science and Technology) ; or must be in a major within the AGNR-Animal & Avian Sciences department; or permission of department required for students in other College of AGNR programs.",202108,Animal Science,,5,Megan McLean,105,5,100,
ANSC204,Anatomy of Domestic Animals,"Prerequisite: ANSC101, ANSC103, BSCI170 and BSCI171.
Corequisite: ANSC205.
Restriction: Must be in one of the following programs (Environmental Sci&Pol-Wildlife Resources & Cons; Animal Sciences: Animal Care & Management; Animal Sciences: Equine Studies; Animal Sciences: Laboratory Animal Care; Animal Sciences: Sciences/Preprofessional; Animal Sciences: Animal Biotechnology; Agricultural and Veterinary Medicine).
Credit only granted for: ANSC211 or ANSC204 AND ANSC205.
Formerly: ANSC211.",202108,Animal Science,,1,Angela Black,90,14,76,
ANSC205,Anatomy of Domestic Animals Laboratory,"Prerequisite: ANSC101, ANSC103, BSCI170 and BSCI171.
Corequisite: ANSC204.
Restriction: Must be in one of the following programs (Environmental Sci&Pol-Wildlife Resources & Cons; Animal Sciences: Animal Care & Management; Animal Sciences: Equine Studies; Animal Sciences: Laboratory Animal Care; Animal Sciences: Sciences/Preprofessional; Animal Sciences: Animal Biotechnology; Agricultural and Veterinary Medicine).
Credit only granted for: ANSC211 or ANSC204 and ANSC205.
Formerly: ANSC211.",202108,Animal Science,,4,Angela Black,88,10,78,
ANSC210,Veterinary Terminology,"Prerequisite: ANSC204 and ANSC205.
Credit only granted for: The course is offered on-line through a series of self-paced modules on ELMS..",202108,Animal Science,,1,Sarah Balcom,80,56,24,
ANSC227,Eating with Eyes Wide Open,"Students will investigate the tension that is created by trade-offs that, knowingly or not, are made by consumers relative to agricultural production methods and dietary choices. Course will inform students about their food supply so they can make informed decisions and practice intentional or informed eating.",202108,Animal Science,,4,R Apter,80,0,80,
ANSC232,Horse Management,"Prerequisite: ANSC101 and ANSC103.
Credit only granted for: ANSC232 or ANSC332.
Formerly: ANSC332.",202108,Animal Science,,2,Amy Burk,40,2,38,
ANSC243,Animals in Disasters: The UMD CART,Recommended: Prior animal experience recommended.,202108,Animal Science,,1,Sarah Balcom,20,8,12,
ANSC252,Introduction to the Diseases of Wildlife,Prerequisite: BSCI105; or (BSCI170 and BSCI171); or permission of AGNR-Animal & Avian Sciences department; or students who have taken courses with comparable content may contact the department.,202108,Animal Science,,1,Cindy Driscoll,80,45,35,
ANSC255,Introduction to Aquaculture,Prerequisite: ANSC101 and ANSC103; or must have completed an introductory biology course.,202108,Animal Science,,1,Mohamed Salem; Daniel Theisen,20,0,20,
ANSC270,Animal Enterprise Management,"Prerequisite: ANSC101 and ANSC103; or permission of instructor.
Credit only granted for: ANSC270 or AREC306.",202108,Animal Science,,1,R Apter,45,17,28,
ANSC314,Comparative Animal Nutrition,Prerequisite: ANSC101 and ANSC103; and (CHEM231 or PLSC275).,202108,Animal Science,,1,Nishanth Sunny,88,15,73,
ANSC359,Internship Experience in Animal and Avian Sciences,"Prerequisite: ANSC220, ANSC232, ANSC242, ANSC250, ANSC255, ANSC260, or ANSC262. Restriction: Must be in a major within the AGNR-Animal & Avian Sciences department; and permission of instructor.",202108,Animal Science,,1,Monica VanKlompenberg,20,13,7,
ANSC379,Animal Science Undergraduate Teaching Assistant Seminar,,202108,Animal Science,,1,Sarah Balcom,15,9,6,
ANSC388,Honors Thesis Research,,202108,Animal Science,,1,Andrew Schiffmacher,5,4,1,
ANSC389,Experiential Learning,,202108,Animal Science,,0,,0,0,0,
ANSC399,Special Problems in Animal Science,,202108,Animal Science,,0,,0,0,0,
ANSC417,Regulatory Issues in Animal Care and Management,"Prerequisite: ANSC220, ANSC232, ANSC242, ANSC250, ANSC255, ANSC260, ANSC262, or ANSC282; or permission of instructor.
Additional information: Field trips may be required for this course.",202108,Animal Science,,1,Monica VanKlompenberg,20,1,19,
ANSC437,Animal Biotechnology,Prerequisite: ANSC327; or students who have taken courses with comparable content may contact the department.,202108,Animal Science,,1,Carol Keefer,20,3,17,
ANSC446,Physiology of Mammalian Reproduction,Prerequisite: ANSC212 or BSCI440.,202108,Animal Science,,1,Monica VanKlompenberg,80,34,46,
ANSC447,Physiology of Mammalian Reproduction Laboratory,Prerequisite: Must have completed or be concurrently enrolled in ANSC446.,202108,Animal Science,,2,Megan McLean,44,6,38,
